,0,1
recognis,0,3
recommend,4,0
record,4,0
recours,2,0
recov,2,1
recoveri,9,0
red,1,1
redempt,0,1
reduc,5,11
reduct,2,0
redund,1,0
reestablish,1,0
reevalu,1,0
refer,0,1
refin,2,1
reflect,16,3
refocus,2,0
reform,4,0
refresh,1,0
regain,1,0
regard,3,2
regardless,1,0
regim,4,9
region,11,0
regrett,1,0
regul,1,12
regular,0,7
regulatori,7,4
reinforc,4,0
relat,6,10
relationship,5,0
relax,0,1
releas,6,2
relev,1,1
reli,1,3
reliabl,0,2
religi,2,0
reluct,1,1
remain,15,1
remak,1,0
remargin,0,1
remark,4,2
remedi,3,1
rememb,1,0
remind,1,0
remit,0,1
remot,0,1
remov,3,0
render,1,0
renew,2,0
reorgan,3,0
repaid,0,1
repeat,1,0
repertoir,0,2
replac,2,1
replic,1,0
repo,0,18
report,8,2
repres,3,0
reprint,0,2
reput,0,1
request,1,0
requir,10,14
rescu,0,1
research,9,1
resembl,1,0
reserv,5,30
reservestev,1,0
resid,1,0
resili,8,4
resist,1,0
resolut,4,4
resolv,7,1
resort,1,14
resourc,5,3
respect,1,1
respond,1,0
respons,5,3
rest,1,0
restor,11,0
restrain,1,0
restructur,5,1
result,12,6
resurg,1,0
retail,0,3
retain,1,1
retir,3,0
retrench,0,1
retrospect,1,0
return,7,2
reveal,0,3
revenu,2,0
revert,1,0
review,11,3
revis,11,1
reviv,1,1
revolut,1,0
revolution,1,0
revolutionari,1,0
revolv,0,1
reward,1,0
ride,1,0
right,6,4
rightsiz,1,0
rise,9,3
risen,1,0
risk,29,48
riskier,0,1
risksensit,1,0
riskshar,1,0
risktak,2,0
rmbs,0,1
robust,4,0
rochest,1,0
roger,2,1
role,5,5
rollov,0,1
root,1,0
rose,1,0
rosengren,0,1
rough,1,0
routin,0,4
rtgs,0,1
rule,1,2
run,8,7
ruptur,1,0
ruthless,1,0
safe,0,2
safeguard,1,1
safeti,0,1
said,1,4
sale,0,1
save,4,2
say,3,4
scale,2,3
scenario,1,2
schedul,0,1
scheme,2,5
school,5,0
scienc,1,0
scientif,1,0
scope,3,0
search,1,0
second,11,7
secondari,1,2
secretari,1,0
section,0,1
sector,33,10
sectora,1,0
sectorespeci,1,0
sectorl,1,0
secur,9,24
securedfund,0,1
securitis,0,2
seduct,1,0
see,4,9
seek,4,2
seem,18,2
seen,2,4
segment,1,0
seiz,1,0
select,0,3
selfrenew,1,0
selfsustain,1,0
semiconductor,2,0
send,1,0
sens,0,2
sensit,1,0
sentiment,2,0
separ,1,2
septemb,3,2
seri,2,2
serious,1,3
serv,2,1
servic,12,5
set,3,8
setback,1,0
settl,1,3
settlement,0,2
seven,1,0
sever,12,3
shadow,0,1
shake,1,0
shall,1,1
shallow,1,0
shapiro,1,0
share,5,2
sharehold,1,5
sharp,1,1
sharpli,2,0
sheet,3,8
shi,1,0
shift,2,1
shock,3,3
short,3,4
shortag,0,1
shortcom,1,0
shorter,1,0
shortfal,1,0
shortterm,0,7
show,4,0
shown,2,0
shrewd,1,0
sibert,0,1
sichel,2,0
sichelsh,1,0
side,4,1
sidestep,0,1
sight,2,0
sign,0,1
signal,1,2
signific,12,2
similar,3,4
simpl,1,0
simpli,0,1
simplifi,1,0
simultan,1,0
sinc,8,5
singapor,29,0
singaporean,4,0
singl,1,0
sink,0,1
sit,0,1
situat,6,0
siv,0,1
six,1,1
sixth,0,1
sizabl,1,0
size,0,7
sizeabl,2,0
skil,1,0
skill,6,0
slide,0,1
slight,1,0
slow,2,0
slowdown,4,0
slowli,1,0
sls,0,1
sluggish,1,0
slump,2,0
small,6,2
smaller,3,2
smarter,1,0
smooth,0,1
soak,1,0
socal,2,0
social,5,2
societi,0,5
soft,2,0
soften,1,0
softwar,4,0
solut,5,1
solv,0,1
solvenc,1,6
solvent,0,2
somehow,0,3
someth,0,1
sometim,0,3
soon,2,1
sooner,1,0
sophist,2,0
sort,0,1
sound,3,5
sourc,6,3
south,1,0
southeast,36,0
sovereign,2,1
space,2,0
span,2,0
spark,1,0
special,0,6
specialis,2,0
specialpurpos,1,0
specif,7,0
spectacular,1,0
spectrum,2,0
speech,1,2
spend,8,0
sphere,0,1
spillov,2,1
spiral,0,1
spirit,2,0
spot,1,0
spread,5,12
spur,5,0
squam,0,1
squeez,1,0
stabil,5,21
stabilis,0,3
stabl,3,0
staff,1,0
stagnat,2,0
stakehold,1,0
stand,2,4
standard,9,4
standpoint,1,0
stanley,1,0
stark,1,0
start,2,1
starter,0,1
startup,2,0
state,9,3
statement,1,1
stateown,1,0
statist,5,0
status,1,0
statutori,1,0
stay,1,0
steadyst,0,1
steep,1,0
stem,1,3
step,0,3
stephen,1,0
stepup,2,0
sterilis,0,1
sterl,0,7
stick,0,2
stigma,0,4
still,11,1
stimul,1,2
stimulus,1,0
stiroh,2,0
stock,6,2
stockmarket,1,0
stockton,2,0
stood,0,1
stop,2,0
stopout,0,3
stori,1,0
straight,0,1
straightforward,2,0
strain,1,0
strateg,4,0
strategi,6,1
street,0,4
strength,1,0
strengthen,5,0
stress,3,15
stretch,1,0
strife,1,0
strike,1,0
stringent,1,0
strong,15,1
stronger,3,0
structur,8,11
struggl,2,0
student,3,0
studi,9,1
stumbl,0,1
subject,0,4
submit,1,0
submiti,1,0
subperiod,1,0
subscrib,0,2
subsequ,3,0
subsid,1,0
subsidi,0,1
substanti,5,0
substitut,1,1
subtract,1,0
succeed,2,0
success,6,1
successor,0,1
suffer,2,0
suffici,0,2
suggest,14,3
suharto,3,0
suit,1,0
sum,3,0
summari,1,2
summit,1,0
supervis,1,3
supervisor,3,2
supervisori,2,2
suppli,6,8
support,12,13
suprem,1,0
sure,4,1
surfac,2,0
surg,8,0
surplus,1,1
surpris,1,0
surveil,1,1
survey,3,0
susanto,1,0
suspect,1,1
suspend,2,0
suspens,3,0
suspicion,1,0
sustain,7,1
swap,0,9
sweep,1,0
swept,1,0
swift,1,0
swiss,0,1
switch,0,1
system,22,66
systemat,1,0
systemicsever,0,1
tabl,1,0
tackl,2,0
tactic,1,0
tailor,1,0
taiwan,1,0
take,8,13
taken,4,1
talent,5,0
talk,1,1
tangibl,1,0
tape,1,0
target,3,9
tax,10,1
taxpay,0,1
taxsensit,1,0
tbill,0,1
technic,3,2
technocrat,0,1
technolog,29,1
telecommun,2,0
tell,2,0
temper,1,0
temporari,1,2
temporarili,0,4
tempt,0,1
ten,1,0
tend,3,0
tendenc,4,0
tenet,1,0
tepid,1,0
term,7,15
territori,1,3
terror,5,0
terrorist,3,0
tertiari,1,0
test,1,2
th,2,1
thailand,1,0
thank,2,1
theme,1,1
therebi,1,1
therefor,1,2
thing,3,4
think,8,12
third,9,5
thirti,2,1
thorni,1,0
though,3,0
thought,3,3
thousand,1,0
threat,1,2
threaten,0,1
three,9,3
thrive,1,0
thus,9,2
tie,1,0
tighten,1,1
tighter,0,1
till,1,0
time,18,11
timeconsist,0,5
timeless,0,1
today,14,6
togeth,1,3
told,1,0
toler,1,1
toobigtofail,0,1
tooeasi,0,1
tool,1,2
top,2,0
topic,2,0
torn,1,0
total,1,1
tough,2,0
toughest,1,0
tourism,1,0
tourist,1,0
toward,4,0
tower,0,1
tradabl,1,0
trade,11,4
tradeoff,0,1
trader,0,3
tradit,0,1
tragic,2,0
trail,1,0
train,2,0
transact,0,3
transfer,0,5
transform,2,1
transit,2,1
transitori,3,0
transitorythat,1,0
transpar,4,1
transpir,1,0
transport,1,0
travel,1,0
trawl,0,1
treasuri,1,6
treat,1,0
treatment,1,0
trend,9,1
tri,3,3
tricki,1,0
trigger,1,0
trim,1,0
tripartit,0,2
troubl,0,1
true,3,1
truli,4,2
truste,1,0
truth,1,0
tucker,0,3
turbul,1,0
turmoil,0,4
turn,3,6
turner,0,1
twenti,1,1
twentieth,1,0
twentyfirst,1,0
two,12,5
type,1,5
typic,1,2
tyson,1,0
uk,1,9
ulama,1,0
ultim,8,3
unambigu,1,0
unansw,1,0
unattract,0,1
unavail,0,1
unavoid,1,2
unbeliev,2,0
unbundl,0,1
uncertain,2,1
uncertainti,3,0
unchart,1,0
uncov,1,0
underdevelop,1,0
underestim,1,0
undergo,1,0
underli,1,0
underlin,0,3
undermin,1,0
underperform,3,0
underpin,0,7
underpr,0,1
understand,9,1
understood,0,1
undertak,1,0
undertook,2,0
underway,0,1
underwrit,0,1
unend,1,0
unequivoc,1,0
unexploit,1,0
unfathom,0,1
unfold,3,0
unfortun,1,2
unintend,1,0
uniqu,1,0
unit,5,0
uniti,0,1
univers,2,1
unless,1,0
unlik,4,1
unlimit,0,2
unnecessari,1,0
unnecessarili,1,0
unpalat,1,0
unpreced,1,0
unpredict,1,0
unquestion,0,2
unravel,0,1
unrealist,1,0
unusu,1,0
unviabl,0,1
unwant,0,1
unwil,0,1
updat,2,2
upgrad,2,0
uphold,1,0
upon,0,3
upper,1,0
upsurg,1,0
upsw,0,1
upward,1,0
urgent,1,0
us,16,13
usasean,1,0
use,16,17
ussingapor,1,0
usual,4,3
util,1,0
valu,3,6
valuabl,1,0
valuat,0,8
valuead,1,0
valuechain,1,0
variabl,2,0
variablenav,0,1
variant,0,2
variat,0,1
varieti,1,1
various,3,4
vast,1,0
vehicl,1,0
vein,1,0
ventur,2,0
versa,1,0
via,0,14
viabil,0,2
viabl,1,1
vibrant,2,0
vice,2,0
vicechairman,1,1
vicious,0,1
view,8,5
vigor,1,0
violant,1,0
violenc,1,0
virtu,0,1
virtual,2,0
virus,1,0
visit,1,0
vital,0,2
voic,1,1
vol,2,0
volatil,2,1
volker,0,1
volum,1,0
voluntari,2,1
voyag,1,0
vulner,1,0
w,3,1
wage,3,1
wait,1,1
wane,1,0
want,5,4
war,6,0
warn,1,0
warrant,1,1
wartim,0,1
wast,1,0
way,16,7
weak,5,0
weaken,4,0
weaker,2,0
wealth,1,0
wealthi,1,0
weather,1,0
web,0,2
websit,1,0
week,2,2
weigh,0,1
weight,0,1
welcom,1,1
well,15,5
wellalign,1,0
wellcapit,1,0
wellfunct,1,0
went,1,0
western,1,0
weve,2,0
whatev,0,1
whenev,2,0
wherea,0,5
wherebi,1,0
wherewith,0,1
whether,2,8
whittl,1,0
whole,5,5
wholesal,0,4
whose,2,1
wide,3,7
widecollater,0,2
widen,1,1
wider,0,9
widercollater,0,6
widespread,0,2
wield,1,0
wiley,0,2
willem,0,2
william,2,0
willing,0,2
windfal,1,0
window,0,10
wish,1,2
wit,1,0
witch,0,1
withdraw,1,0
within,2,0
without,2,9
word,0,3
work,23,7
worker,6,0
workersthat,1,0
workforc,2,0
workload,1,0
workout,3,0
world,9,3
worldwid,3,0
worri,1,1
wors,1,0
worsen,1,0
worst,1,0
worth,0,2
would,25,48
write,0,1
wrong,3,0
wrote,0,1
wto,2,0
wwwbankofenglandcoukmarketsmoneydiscountindexhtm,0,1
wwwbankofenglandcoukmarketsslsindexhtm,0,1
wwwbisorg,1,0
wwwfederalreservegovnewseventspressmonetarybhtm,0,1
year,50,12
yearearli,1,0
yearend,2,0
yet,8,0
yield,3,3
yk,3,0
york,3,1
young,1,0
zealand,3,0
zealous,1,0
zero,1,1
£bn,0,2
§,13,0
—well,1,0
•,27,9
…,0,1
………,0,1
